id,task,label,y,chrom,split,start0,end0,length,log_length,population,stat_name,stat_value,archaic_best,contrast,row_index,gc,repeat_frac,mappability,gene_density,svd_0,svd_1,svd_2,svd_3,svd_4,svd_5,svd_6,svd_7,svd_8,svd_9
sweep_GIH_chr2_00140,sweeps,sweep,1,chr2,test,238186152,238194344,32768,4.51545,GIH,max_normalized_iHS,4.15202,,sweeps,33,0.4371338,0.49182129,1.0,1.0,3.9636118,-0.0899401,0.39715984,0.011293112,0.00039503726,0.5002601,0.2053271,-0.1093507,0.025975972,0.08602255
sweep_YRI_chr1_00122,sweeps,sweep,1,chr1,test,103657891,103666083,32768,4.51545,YRI,max_normalized_iHS,4.35931,,sweeps,34,0.3371582,0.34204102,0.11889648,0.81335449,3.9368312,-0.19948418,0.036646124,-0.070277944,0.36419702,-0.0075037433,-0.22525011,0.014572984,-0.14282568,-0.07026516
sweep_CEU_chr2_00067,sweeps,sweep,1,chr2,test,126175029,126183221,32768,4.51545,CEU,max_normalized_iHS,6.23776,,sweeps,35,0.39587402,0.67480469,0.58837891,1.0,4.2970095,0.50585204,0.10885738,-0.04256402,0.7014914,-0.06598984,-0.2040979,0.11089608,0.023195468,0.18547702
sweep_YRI_chr1_00145,sweeps,sweep,1,chr1,test,160590765,160598957,32768,4.51545,YRI,max_normalized_iHS,4.12013,,sweeps,36,0.37451172,0.9744873,1.0,0.0,4.393093,0.6503752,-0.09441525,-0.06491406,-0.16324168,-0.023922937,0.122181386,0.090774715,0.09414553,0.090113655
sweep_CHB_chr2_00088,sweeps,sweep,1,chr2,test,166306495,166314687,32768,4.51545,CHB,max_normalized_iHS,4.77629,,sweeps,37,0.36132812,0.5814209,0.95727539,1.0,4.343109,0.3563772,-0.03131674,-0.09332277,0.17223428,0.0044407314,-0.06263659,0.031065786,0.060333714,-0.034200754
sweep_PEL_chr1_00032,sweeps,sweep,1,chr1,test,40499947,40508139,32768,4.51545,PEL,max_normalized_iHS,6.84111,,sweeps,38,0.4350586,0.70092773,1.0,1.0,4.1974998,0.28834507,0.07011041,0.0674399,-0.17795247,0.039650697,0.12530045,0.2350453,-0.1281693,-0.010376717
sweep_YRI_chr2_00188,sweeps,sweep,1,chr2,test,181005651,181013843,32768,4.51545,YRI,max_normalized_iHS,6.99052,,sweeps,39,0.3569336,0.25976562,1.0,1.0,3.599795,-0.44187295,0.3635174,-0.16894013,-0.1590993,-0.32894677,-0.16460688,-0.11368818,0.106390566,0.018122733
sweep_CHB_chr1_00087,sweeps,sweep,1,chr1,test,151628471,151636663,32768,4.51545,CHB,max_normalized_iHS,4.98683,,sweeps,40,0.38098145,0.57458496,1.0,1.0,4.002381,-0.022735247,0.63444126,-0.08641544,-0.3307509,-0.37058324,-0.008003451,-0.0051458566,0.073318444,0.04519294
sweep_CHB_chr2_00035,sweeps,sweep,1,chr2,test,87397973,87406165,32768,4.51545,CHB,max_normalized_iHS,4.074,,sweeps,41,0.538208,0.98632812,0.99133301,0.0,3.740208,0.34107792,0.15088022,0.5413313,-0.35421622,0.29059947,-0.14143884,0.3609515,0.08124832,-0.23278043
sweep_PEL_chr1_00077,sweeps,sweep,1,chr1,test,160692091,160700283,32768,4.51545,PEL,max_normalized_iHS,4.86115,,sweeps,42,0.40649414,1.0,0.92028809,1.0,3.7175019,0.43766007,0.03371436,0.10360083,0.6104537,-0.08968354,-0.22552736,-0.25108442,-0.259107,-0.023093095
sweep_PEL_chr2_00034,sweeps,sweep,1,chr2,test,99277302,99285494,32768,4.51545,PEL,max_normalized_iHS,4.21575,,sweeps,43,0.42382812,0.61206055,1.0,1.0,3.9013386,0.07538424,-0.036244385,0.059130263,0.054528717,-0.0050458126,0.0040629143,0.033641923,-0.10644591,-0.024526488
sweep_PEL_chr1_00095,sweeps,sweep,1,chr1,test,178149884,178158076,32768,4.51545,PEL,max_normalized_iHS,4.5408,,sweeps,44,0.38085938,0.58569336,1.0,1.0,3.9695544,0.017674789,0.52456707,-0.1202033,-0.34172347,-0.4149946,0.018449856,-0.10224092,0.07815713,0.026504338
sweep_CHB_chr2_00013,sweeps,sweep,1,chr2,test,40007040,40015232,32768,4.51545,CHB,max_normalized_iHS,4.37114,,sweeps,45,0.40734863,0.8873291,0.90270996,1.0,4.5640717,0.8366492,0.1625479,-0.050572906,0.66278154,-0.08223938,-0.13478214,0.15500186,0.0026478788,0.20004104
sweep_CHB_chr1_00049,sweeps,sweep,1,chr1,test,52770868,52779060,32768,4.51545,CHB,max_normalized_iHS,6.15989,,sweeps,46,0.41809082,0.61584473,1.0,1.0,4.344189,0.32352638,0.63142115,0.027741153,-0.07401033,-0.3330748,0.0031935966,0.0060335486,-0.02814392,-0.029032797
sweep_YRI_chr2_00131,sweeps,sweep,1,chr2,test,125887863,125896055,32768,4.51545,YRI,max_normalized_iHS,11.8285,,sweeps,47,0.27294922,0.9666748,0.96105957,0.0,4.216932,0.51267475,-0.023313906,0.075017475,0.029666953,0.043793716,-0.22640243,-0.017061925,-0.15108375,0.090873554
sweep_PEL_chr1_00019,sweeps,sweep,1,chr1,test,26252831,26261023,32768,4.51545,PEL,max_normalized_iHS,5.63962,,sweeps,48,0.45373535,0.42626953,1.0,1.0,4.043406,0.042181496,0.62402916,0.049389955,-0.07488749,-0.37432083,0.0021785616,-0.061216928,0.028309006,0.0024113634
sweep_CHB_chr2_00107,sweeps,sweep,1,chr2,test,199892831,199901023,32768,4.51545,CHB,max_normalized_iHS,6.90413,,sweeps,49,0.38562012,0.62023926,1.0,1.0,4.003723,-0.04173814,-0.10118292,-0.09834297,-0.09768638,0.01725411,0.0026510744,0.07965324,0.018283548,-0.033397716
sweep_CEU_chr1_00124,sweeps,sweep,1,chr1,test,179198424,179206616,32768,4.51545,CEU,max_normalized_iHS,4.61342,,sweeps,50,0.4033203,0.48815918,0.99621582,1.0,4.086827,-0.016096037,0.49062595,-0.107601665,-0.094627656,0.50028545,0.17899285,-0.20332278,-0.010010757,0.0628508
sweep_CHB_chr2_00128,sweeps,sweep,1,chr2,test,241951662,241959854,32768,4.51545,CHB,max_normalized_iHS,5.94407,,sweeps,51,0.5144043,0.62268066,1.0,1.0,4.2650967,-0.008652891,-0.18077862,0.23965198,0.061521187,-0.09940587,0.1564753,-0.15056744,-0.06788233,-0.027562367
sweep_YRI_chr1_00148,sweeps,sweep,1,chr1,test,163332799,163340991,32768,4.51545,YRI,max_normalized_iHS,4.6343,,sweeps,52,0.34069824,0.59472656,1.0,1.0,4.219469,0.1105729,0.18810724,-0.19143867,-0.13581978,-0.26513442,-0.061613075,-0.17056255,-0.07431941,0.017777769
sweep_GIH_chr2_00144,sweeps,sweep,1,chr2,test,240507113,240515305,32768,4.51545,GIH,max_normalized_iHS,5.14785,,sweeps,53,0.5678711,0.20080566,1.0,1.0,4.0581408,-0.34400105,-0.09519646,0.3239276,0.28333616,-0.010909884,0.10876177,-0.17534949,-0.029211625,-0.04166034
sweep_PEL_chr1_00068,sweeps,sweep,1,chr1,test,150918075,150926267,32768,4.51545,PEL,max_normalized_iHS,5.40212,,sweeps,54,0.46618652,0.76721191,1.0,0.00061035156,4.129272,0.283368,0.2011754,0.121019915,-0.17611943,0.24965769,0.15288866,0.16394502,-0.07890246,-0.08705544
sweep_CEU_chr2_00037,sweeps,sweep,1,chr2,test,86167764,86175956,32768,4.51545,CEU,max_normalized_iHS,4.99882,,sweeps,55,0.37927246,0.36547852,1.0,1.0,3.8822622,-0.23837717,0.38712493,-0.10785662,-0.0012609387,0.4937257,0.09163586,-0.10701919,-0.031966995,0.031864062
sweep_CEU_chr1_00128,sweeps,sweep,1,chr1,test,182917554,182925746,32768,4.51545,CEU,max_normalized_iHS,6.33571,,sweeps,56,0.3897705,0.95458984,1.0,1.0,4.1590037,0.5340471,-0.1689342,-0.11018808,-0.15189315,0.019437952,0.10409486,-0.059144836,0.19271557,-0.14115186
sweep_CEU_chr2_00051,sweeps,sweep,1,chr2,test,108734797,108742989,32768,4.51545,CEU,max_normalized_iHS,4.001,,sweeps,57,0.41784668,0.56945801,0.99511719,1.0,4.0012712,0.11118121,0.7502708,0.03504421,-0.17803325,-0.3595982,0.014048179,0.095308416,0.022884488,-0.010163575
sweep_YRI_chr1_00169,sweeps,sweep,1,chr1,test,177395621,177403813,32768,4.51545,YRI,max_normalized_iHS,4.13283,,sweeps,58,0.39489746,0.63684082,0.92114258,1.0,3.941406,0.22010936,0.044635627,-8.00374e-05,0.26242256,-0.0044166213,-0.09493473,0.13899086,-0.040520545,0.053792566
sweep_GIH_chr2_00067,sweeps,sweep,1,chr2,test,131440757,131448949,32768,4.51545,GIH,max_normalized_iHS,4.14725,,sweeps,59,0.5286865,0.36730957,0.99707031,0.23730469,4.218093,0.0019395833,-0.04542011,0.12982835,0.25820684,-0.079101644,-0.021185406,-0.15447852,-0.10734979,-0.06880343
sweep_GIH_chr1_00093,sweeps,sweep,1,chr1,test,158507068,158515260,32768,4.51545,GIH,max_normalized_iHS,4.11129,,sweeps,60,0.37304688,0.43017578,0.99389648,0.058105469,3.9782727,0.038915463,-0.028412148,-0.09250506,0.13031344,0.006590376,-0.1045591,0.079030745,-0.049218263,-0.04605698
sweep_YRI_chr2_00250,sweeps,sweep,1,chr2,test,226169025,226177217,32768,4.51545,YRI,max_normalized_iHS,4.02083,,sweeps,61,0.3795166,0.31555176,1.0,0.0,3.9734762,-0.28763175,-0.0833308,-0.07127005,0.009128531,0.019409271,-0.07451081,0.08001134,-0.0385756,-0.06067178
sweep_YRI_chr1_00190,sweeps,sweep,1,chr1,test,189523033,189531225,32768,4.51545,YRI,max_normalized_iHS,5.78241,,sweeps,62,0.33874512,0.52856445,1.0,0.0,4.072839,-0.11883806,-0.13846779,-0.21145107,-0.07812716,0.009271924,-0.0750787,0.051798113,-0.0801789,-0.08627331
sweep_YRI_chr2_00002,sweeps,sweep,1,chr2,test,2405623,2413815,32768,4.51545,YRI,max_normalized_iHS,4.30686,,sweeps,63,0.36950684,0.5177002,1.0,0.0,4.1543574,0.021183882,-0.11915982,-0.069768526,-0.002623668,-0.013492105,-0.042113584,-0.020328898,-0.07467064,-0.091397166
sweep_CEU_chr1_00158,sweeps,sweep,1,chr1,test,227160316,227168508,32768,4.51545,CEU,max_normalized_iHS,6.89977,,sweeps,64,0.34301758,0.49938965,1.0,1.0,4.187234,-0.13655773,0.28424734,-0.21055132,-0.08662714,0.40871483,0.076105244,-0.2765922,-0.0511191,0.06840295
sweep_CHB_chr2_00079,sweeps,sweep,1,chr2,test,148133120,148141312,32768,4.51545,CHB,max_normalized_iHS,4.57377,,sweeps,65,0.3659668,0.40478516,1.0,1.0,3.9015205,-0.20230676,-0.024918864,-0.06223684,-0.0454682,0.030031184,-0.0727213,0.15714195,-0.08669632,-0.002409983
sweep_YRI_chr1_00070,sweeps,sweep,1,chr1,test,60066595,60074787,32768,4.51545,YRI,max_normalized_iHS,4.29563,,sweeps,66,0.40100098,0.58361816,1.0,0.87585449,4.2717304,0.024521716,-0.07706271,-0.040283937,0.048211332,-0.021223012,-0.004070612,0.039375283,-0.057257995,-0.015920898
sweep_YRI_chr2_00035,sweeps,sweep,1,chr2,test,27992232,28000424,32768,4.51545,YRI,max_normalized_iHS,6.15768,,sweeps,67,0.37780762,0.53442383,1.0,1.0,3.9555302,-0.09849432,-0.017834773,-0.13134548,-0.17438017,-0.10442507,-0.03466066,-0.031216754,-0.081703715,-0.01841233
sweep_GIH_chr1_00059,sweeps,sweep,1,chr1,test,70319492,70327684,32768,4.51545,GIH,max_normalized_iHS,5.47658,,sweeps,68,0.37695312,0.50512695,1.0,1.0,4.110107,0.012815569,0.29943153,-0.08766079,-0.07430167,0.40045196,0.10328188,-0.034636278,-0.06734715,-0.05037919
sweep_YRI_chr2_00260,sweeps,sweep,1,chr2,test,237987299,237995491,32768,4.51545,YRI,max_normalized_iHS,5.66808,,sweeps,69,0.42382812,0.4498291,1.0,1.0,4.000058,-0.10683641,0.74943715,0.054187622,-0.22569907,-0.38670442,0.002019762,0.041048817,0.09551366,-0.017204644
sweep_PEL_chr1_00009,sweeps,sweep,1,chr1,test,9797481,9805673,32768,4.51545,PEL,max_normalized_iHS,4.58443,,sweeps,70,0.45031738,0.82763672,1.0,1.0,4.1248436,0.30954376,0.28045312,0.06213725,-0.21140793,0.35718295,0.2683796,0.059751347,0.05321479,-0.023741739
sweep_PEL_chr2_00092,sweeps,sweep,1,chr2,test,203368261,203376453,32768,4.51545,PEL,max_normalized_iHS,6.29321,,sweeps,71,0.4074707,0.4342041,0.9552002,1.0,4.045638,-0.09007488,0.65611684,-0.06596085,0.07101742,-0.35012543,-0.15649769,-0.033079512,0.043776248,-0.032585777
sweep_GIH_chr1_00140,sweeps,sweep,1,chr1,test,233956173,233964365,32768,4.51545,GIH,max_normalized_iHS,4.74145,,sweeps,72,0.44274902,0.35986328,1.0,1.0,3.8153872,-0.34969026,-0.10551127,0.047291648,0.035717893,-0.025199538,0.016869796,0.0624156,0.01851156,0.058642503
sweep_YRI_chr2_00217,sweeps,sweep,1,chr2,test,197947482,197955674,32768,4.51545,YRI,max_normalized_iHS,5.28256,,sweeps,73,0.39672852,0.29992676,1.0,1.0,3.8584938,-0.42048475,-0.08785164,-0.10795348,0.01263476,-0.08141286,-0.087138735,-0.0101823965,0.02826586,0.04804695
sweep_PEL_chr1_00042,sweeps,sweep,1,chr1,test,49958781,49966973,32768,4.51545,PEL,max_normalized_iHS,5.17501,,sweeps,74,0.34655762,0.40075684,1.0,1.0,4.07525,-0.18287194,-0.06295596,-0.13350317,-0.018366048,0.07325115,-0.10809811,0.11920134,0.015355202,-0.065152004
sweep_YRI_chr2_00064,sweeps,sweep,1,chr2,test,80799861,80808053,32768,4.51545,YRI,max_normalized_iHS,4.81258,,sweeps,75,0.36499023,0.41540527,1.0,1.0,4.049214,-0.17909665,-0.12743337,-0.14967987,-0.072506644,0.024189316,-0.050905347,0.06774686,0.0007812587,-0.09388952
sweep_YRI_chr1_00201,sweeps,sweep,1,chr1,test,200568139,200576331,32768,4.51545,YRI,max_normalized_iHS,4.22799,,sweeps,76,0.37805176,0.50915527,1.0,1.0,4.045086,-0.08809031,0.08945669,-0.09556992,-0.041162,0.19495021,2.522414e-06,0.019957848,-0.081794225,-0.002744246
sweep_YRI_chr2_00075,sweeps,sweep,1,chr2,test,83458336,83466528,32768,4.51545,YRI,max_normalized_iHS,8.86547,,sweeps,77,0.33911133,0.50244141,1.0,0.0,3.843319,-0.20823938,-0.12777032,-0.1749512,-0.006540943,-0.0020704335,-0.11476757,0.036125895,-0.03408018,0.05596966
sweep_GIH_chr1_00005,sweeps,sweep,1,chr1,test,6401304,6409496,32768,4.51545,GIH,max_normalized_iHS,4.13223,,sweeps,78,0.47021484,0.73693848,1.0,0.0,4.075924,0.23847403,0.08730598,0.23935544,-0.15293288,0.06859503,0.22502597,0.3429008,-0.04669847,0.04041312
sweep_CEU_chr2_00112,sweeps,sweep,1,chr2,test,183591115,183599307,32768,4.51545,CEU,max_normalized_iHS,5.44347,,sweeps,79,0.3713379,0.59387207,0.99584961,0.0,4.196708,0.15179417,-0.10003255,-0.13149957,0.019805063,0.00028585843,-0.0506957,-0.0057923854,-0.05224155,-0.062217437
sweep_CEU_chr1_00111,sweeps,sweep,1,chr1,test,167359930,167368122,32768,4.51545,CEU,max_normalized_iHS,4.91916,,sweeps,80,0.37646484,0.47607422,0.99230957,1.0,3.9365675,-0.019727683,0.25963765,-0.094874695,-0.085716404,-0.24570955,-0.08154259,-0.08547868,-0.017372929,0.07139561
sweep_CEU_chr2_00119,sweeps,sweep,1,chr2,test,189733593,189741785,32768,4.51545,CEU,max_normalized_iHS,4.44124,,sweeps,81,0.35351562,0.35791016,1.0,1.0,3.8073223,-0.23323323,0.013476285,-0.102279305,0.015529726,0.059617106,-0.12868017,0.18724461,-0.016133172,0.04363936
sweep_GIH_chr1_00097,sweeps,sweep,1,chr1,test,167371852,167380044,32768,4.51545,GIH,max_normalized_iHS,5.58701,,sweeps,82,0.38537598,0.38891602,1.0,1.0,4.051604,-0.12754337,0.72573733,-0.088584974,-0.025786873,-0.41031113,-0.11008666,-0.10909503,0.040087983,-0.06392004
sweep_YRI_chr2_00085,sweeps,sweep,1,chr2,test,88800030,88808222,32768,4.51545,YRI,max_normalized_iHS,4.39777,,sweeps,83,0.3671875,0.32788086,0.99938965,0.8034668,3.8752666,-0.15347591,0.0610017,-0.07000814,0.01772565,-0.13783841,-0.09578588,-0.08123627,-0.053391796,-0.009345458
sweep_GIH_chr1_00083,sweeps,sweep,1,chr1,test,148368274,148376466,32768,4.51545,GIH,max_normalized_iHS,6.60567,,sweeps,84,0.43884277,0.70422363,1.0,1.0,3.7715237,0.10231239,0.078952655,0.18374392,0.058699522,0.044094034,0.035491798,0.16547889,-0.19281459,-0.084406756
